Rank,Gene,Importance Score,Valid Target
1,KDM5B,0.039999999999999994,False
2,NF1,0.039999999999999994,False
3,ZKSCAN1,0.039999999999999994,False
4,ADNP,0.029999999999999995,False
5,ATM,0.029999999999999995,True
6,IRF2BP2,0.029999999999999995,False
7,KAT6A,0.029999999999999995,False
8,NCOR1,0.029999999999999995,True
9,REPS2,0.029999999999999995,False
10,ANKRD17,0.019999999999999997,False
11,DCAF6,0.019999999999999997,False
12,GSE1,0.019999999999999997,False
13,IGF1R,0.019999999999999997,False
14,IQGAP2,0.019999999999999997,False
15,MAP3K1,0.019999999999999997,True
16,NCOR2,0.019999999999999997,False
17,PAK1,0.019999999999999997,False
18,PRKDC,0.019999999999999997,False
19,SMARCA2,0.019999999999999997,False
20,SMARCD2,0.019999999999999997,False
21,TOP2B,0.019999999999999997,False
22,ADGRB2,0.009999999999999998,False
23,AKT1,0.009999999999999998,True
24,ATAD2,0.009999999999999998,False
25,ATF4,0.009999999999999998,False
26,BPTF,0.009999999999999998,False
27,BRWD1,0.009999999999999998,False
28,CDC42,0.009999999999999998,False
29,CDH1,0.009999999999999998,True
30,EVL,0.009999999999999998,False
31,FARP1,0.009999999999999998,False
32,FOXO3,0.009999999999999998,False
33,FRS2,0.009999999999999998,False
34,GRIA2,0.009999999999999998,False
35,HIF1A,0.009999999999999998,False
36,IQGAP1,0.009999999999999998,False
37,KAT7,0.009999999999999998,False
38,KDM4B,0.009999999999999998,False
39,KLHL41,0.009999999999999998,False
40,KMT2C,0.009999999999999998,True
41,KTN1,0.009999999999999998,False
42,LRBA,0.009999999999999998,False
43,MCL1,0.009999999999999998,False
44,MCM4,0.009999999999999998,False
45,MED1,0.009999999999999998,False
46,MORF4L1,0.009999999999999998,False
47,NTRK2,0.009999999999999998,False
48,NUP210,0.009999999999999998,False
49,PAPSS1,0.009999999999999998,False
50,PARP1,0.009999999999999998,False
51,PIK3R1,0.009999999999999998,True
52,POLR2B,0.009999999999999998,False
53,PPP1CA,0.009999999999999998,False
54,PRKACB,0.009999999999999998,False
55,RBBP7,0.009999999999999998,False
56,RET,0.009999999999999998,False
57,RPL34,0.009999999999999998,False
58,RUNX1,0.009999999999999998,True
59,SLC39A9,0.009999999999999998,False
60,SMARCA4,0.009999999999999998,False
61,SMARCC1,0.009999999999999998,False
62,SMG1,0.009999999999999998,False
63,SP1,0.009999999999999998,False
64,STMN1,0.009999999999999998,False
